mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
74	74	1/2	1/2	4/4	2	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
75	75	0	0	4/4	2	1		vi(+4)	F	I		vi(+4)	vi			+4				m	0	0	3, 0, 4	2	3	3
75	75	1/2	1/2	4/4	2	1		V/V	F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
76	76	0	0	4/4	2	1		V[V7	F	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
76	76	1/4	1/4	4/4	2	1		I6	F	I	V	I6	I		6					M	0	0	4, 1, 0		0	4
76	76	3/8	3/8	4/4	2	1		IV6	F	I	V	IV6	IV		6					M	0	0	3, 0, -1		-1	3
76	76	1/2	1/2	4/4	2	1		ii6	F	I	V	ii6	ii		6					m	0	0	-1, 3, 2		2	-1
76	76	5/8	5/8	4/4	2	1		V6	F	I	V	V6	V		6					M	0	0	5, 2, 1		1	5
76	76	3/4	3/4	4/4	2	1		iii6	F	I	V	iii6	iii		6					m	0	0	1, 5, 4		4	1
76	76	7/8	7/8	4/4	2	1		vi6]	F	I	V	vi6	vi		6					m	0	0	0, 4, 3		3	0
77	77	0	0	4/4	2	1		IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
77	77	1/8	1/8	4/4	2	1		viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
77	77	1/4	1/4	4/4	2	1		V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
77	77	3/8	3/8	4/4	2	1		I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
77	77	1/2	1/2	4/4	2	1		vi6	F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
77	77	5/8	5/8	4/4	2	1		ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
77	77	3/4	3/4	4/4	2	1		viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
77	77	7/8	7/8	4/4	2	1		iii6	F	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
78	78	0	0	4/4	2	1		IV(+6)	F	I		IV(+6)	IV			+6				M	0	0	-1, 3, 0	2	-1	-1
79	79	0	0	4/4	2	1		V43(+2)	F	I		V43(+2)	V		43	+2				Mm7	0	0	2, -1, 1, 5	3	1	2
80	80	0	0	4/4	2	1		V7(+2)	F	I		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
81	81	0	0	4/4	2	1		I|IAC}{	F	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
81	81	1/4	1/4	4/4	2	1		vii%65/IV	F	I		vii%65/IV	vii	%	65		IV			%7	0	0	1, -2, 2, 4		4	1
81	81	3/4	3/4	4/4	2	1		V43(+6)/IV	F	I		V43(+6)/IV	V		43	+6	IV			Mm7	0	0	1, -2, 0, 4	3	0	1
82	82	0	0	4/4	2	1		V43/IV	F	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
82	82	1/2	1/2	4/4	2	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
82	82	3/4	3/4	4/4	2	1		V7(+2)	F	I		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
83	83	0	0	4/4	2	1		I	F	I		I	I							M	0	0	0, 4, 1		0	0
83	83	1/4	1/4	4/4	2	1		vii%65/IV	F	I		vii%65/IV	vii	%	65		IV			%7	0	0	1, -2, 2, 4		4	1
83	83	3/4	3/4	4/4	2	1		V43(+6)/IV	F	I		V43(+6)/IV	V		43	+6	IV			Mm7	0	0	1, -2, 0, 4	3	0	1
84	84	0	0	4/4	2	1		V43/IV	F	I		V43/IV	V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
84	84	1/2	1/2	4/4	2	1		V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
84	84	3/4	3/4	4/4	2	1		V7(+2)	F	I		V7(+2)	V		7	+2				Mm7	0	0	1, 5, 2, -1	3	1	1
85	85	0	0	4/4	2	1		IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
85	85	3/4	3/4	4/4	2	1		vi64	F	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
85	85	7/8	7/8	4/4	2	1		ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
87	87	0	0	4/4	2	1		IV6(+2)	F	I		IV6(+2)	IV		6	+2				M	0	0	3, 0, -1	1	-1	3
87	87	1/2	1/2	4/4	2	1		I64	F	I		I64	I		64					M	0	0	1, 0, 4		0	1
87	87	3/4	3/4	4/4	2	1		IV(+6)	F	I		IV(+6)	IV			+6				M	0	0	-1, 3, 0	2	-1	-1
88	88	0	0	4/4	2	1		I|PC}	F	I		I	I					PC	}	M	0	0	0, 4, 1		0	0
